timestamp,pathloss_db,retry_rate_raw,retry_rate_rolling_mean
1764674217.3136652,118.88520559606616,0.0,0.0
1764674217.3261683,125.34413976747496,,
1764674217.3386714,121.20795613396413,,
1764674217.3511746,120.47341123867662,,
1764674217.3636775,113.43770592824124,,
1764674217.3761806,119.71074344915053,,
1764674217.3886838,120.20755433838015,,
1764674217.401187,115.55803401187198,,
1764674217.41369,113.73741436900664,,
1764674217.4138997,,0.0,0.0
1764674217.4261932,115.51790522464076,,
1764674217.4386961,115.21900369001298,,
1764674217.4511993,112.10017508832189,,
1764674217.4637024,118.18786801925212,,
1764674217.4762056,117.16615876359987,,
1764674217.4887087,121.57245822888522,,
1764674217.501212,120.57570022296655,,
1764674217.513715,116.93818792999053,,
1764674217.5141344,,33.42349435692488,11.141164785641626
1764674217.526218,116.59846139919162,,
1764674217.538721,118.63872123134921,,
1764674217.5512242,118.29026231618711,,
1764674217.5637274,119.37260471823187,,
1764674217.5762305,118.35324715591281,,
1764674217.5887337,115.82364327731905,,
1764674217.6012366,118.83729536604679,,
1764674217.6137397,119.3500832535406,,
1764674217.614369,,22.631395665744556,14.013722505667358
1764674217.6262429,117.33509205200346,,
1764674217.638746,123.88067956235827,,
1764674217.6512492,120.72577243680867,,
1764674217.6637523,125.18527747663714,,
1764674217.6762555,124.53331470175297,,
1764674217.6887584,118.85973129932162,,
1764674217.7012615,129.09494526082597,,
1764674217.7137647,123.70144366431863,,
1764674217.7146037,,0.0,11.210978004533887
1764674217.7262678,122.89303834911395,,
1764674217.738771,116.14974461135643,,
1764674217.751274,123.87851162192675,,
1764674217.763777,123.34179286353539,,
1764674217.7762802,120.9017014418234,,
1764674217.7887833,118.26727063615469,,
1764674217.8012865,126.39359665701546,,
1764674217.8137896,120.54704545799781,,
1764674217.8148382,,4.905529172868389,10.16006986592297
1764674217.8262928,115.33449412313591,,
1764674217.838796,121.24578125328746,,
1764674217.8512988,119.9332124797968,,
1764674217.863802,120.20641875482656,,
1764674217.876305,123.27532783215307,,
1764674217.8888083,120.72773092929675,,
1764674217.9013114,122.56803723087013,,
1764674217.9138145,120.08735143890347,,
1764674217.915073,,6.344273361807751,9.614956079620796
1764674217.9263175,118.1253792788457,,
1764674217.9388206,121.55511906753895,,
1764674217.9513237,120.99815326933533,,
1764674217.963827,122.93888327159101,,
1764674217.97633,131.21127730779622,,
1764674217.9888332,126.55199425322947,,
1764674218.0013363,123.77979462298111,,
1764674218.0138392,126.02816438117357,,
1764674218.0153074,,38.04107338806529,13.16822074317636
1764674218.0263424,132.9527388475556,,
1764674218.0388455,122.11451471282322,,
1764674218.0513487,125.440578576757,,
1764674218.0638518,128.76617153034994,,
1764674218.076355,130.72149664726905,,
1764674218.088858,127.51323591437485,,
1764674218.101361,125.38493269099901,,
1764674218.1138642,131.8313508623482,,
1764674218.115542,,36.98525271274332,15.814557628683799
1764674218.1263673,125.89410543294177,,
1764674218.1388705,127.2609936920145,,
1764674218.1513736,130.30174859179306,,
1764674218.1638768,128.25759123426892,,
1764674218.1763797,123.81114719161083,,
1764674218.1888828,126.13412654976669,,
1764674218.201386,130.50984760357517,,
1764674218.2138891,127.30097065612746,,
1764674218.2157767,,24.571792521471167,16.690281117962535
1764674218.2263923,128.4008225305772,,
1764674218.2388954,126.21920289254732,,
1764674218.2513983,124.51141441751255,,
1764674218.2639015,123.32006642773389,,
1764674218.2764046,125.18510759722321,,
1764674218.2889078,130.0306380342745,,
1764674218.301411,126.04587415214041,,
1764674218.313914,131.1020499910528,,
1764674218.3160112,,24.838208115542326,17.431001754106152
1764674218.3264172,129.35689212877148,,
1764674218.33892,125.3214993747967,,
