timestamp,pathloss_db,retry_rate_raw,retry_rate_rolling_mean
1764670636.282539,117.40012370489318,0.0,0.0
1764670636.2950425,122.63470230268423,,
1764670636.3075464,117.12284372565223,,
1764670636.32005,117.25240824538871,,
1764670636.3325539,123.56482303859752,,
1764670636.3450575,115.2112843244302,,
1764670636.3575613,118.54694525216127,,
1764670636.370065,119.44032940165496,,
1764670636.3825688,122.77154911171394,,
1764670636.3827138,,6.0746861945886135,3.0373430972943067
1764670636.3950725,113.97298497009686,,
1764670636.4075763,121.81967928676102,,
1764670636.42008,120.06766500983716,,
1764670636.4325838,123.06203034818121,,
1764670636.4450874,120.80963166439226,,
1764670636.4575913,116.33076432502926,,
1764670636.470095,119.21724795187698,,
1764670636.4825985,114.28155008926916,,
1764670636.4828887,,27.966736258771856,11.347140817786823
1764670636.4951024,119.75660763674503,,
1764670636.507606,116.55534128604091,,
1764670636.52011,118.64913421337815,,
1764670636.5326135,119.52015694241884,,
1764670636.5451174,123.00733765157632,,
1764670636.557621,121.21446249672226,,
1764670636.5701249,123.55577788535936,,
1764670636.5826285,125.78843026135048,,
1764670636.5830636,,11.559095146226683,11.40012939989679
1764670636.5951324,122.566130110239,,
1764670636.607636,125.79620617082371,,
1764670636.6201398,118.11798080969034,,
1764670636.6326435,121.05495648683522,,
1764670636.645147,121.53143885340037,,
1764670636.657651,119.59227467712049,,
1764670636.6701546,118.91501894213219,,
1764670636.6826584,122.56696471884688,,
1764670636.6832385,,4.443279358132045,10.00875939154384
1764670636.695162,129.25182618469802,,
1764670636.707666,114.71657028464689,,
1764670636.7201695,113.79687414186586,,
1764670636.7326734,121.9208210237374,,
1764670636.745177,125.74564138996189,,
1764670636.757681,125.42021595579,,
1764670636.7701845,123.09942758681245,,
1764670636.7826884,122.29125542730968,,
1764670636.7834134,,14.150729965802514,10.699087820586954
1764670636.795192,118.95189711375066,,
1764670636.8076959,122.47610127096046,,
1764670636.8201995,125.70657453921626,,
1764670636.832703,120.43495219942783,,
1764670636.845207,121.14842775554199,,
1764670636.8577106,117.49400043900737,,
1764670636.8702145,121.01325879967237,,
1764670636.882718,121.33038646346665,,
1764670636.8835883,,45.75358026125128,15.70687245496757
1764670636.895222,124.85826381514555,,
1764670636.9077256,123.45074467111128,,
1764670636.9202294,122.37928613894643,,
1764670636.932733,125.68183437955138,,
1764670636.945237,120.20517117684338,,
1764670636.9577405,124.48797711007443,,
1764670636.9702444,126.14058571213991,,
1764670636.982748,118.45329731195321,,
1764670636.9837632,,32.705745663885615,17.831731606082325
1764670636.995252,121.57331652898978,,
1764670637.0077555,116.35097557316695,,
1764670637.0202591,124.93952755029925,,
1764670637.032763,113.41794536866146,,
